year,sem,college,dept,num,section,instructor,course_name,course_level,total_students,response_count,response_rate_raw,hrs_per_week,interest_in_student_learning,clearly_explain_course_requirements,clear_learning_objectives_and_goals,instructor_provides_feedback_to_students_to_improve,demonstrate_importance_of_subject_matter,explains_subject_matter_of_course,show_respect_for_all_students,overall_teaching_rate,overall_course_rate,canonical_course_id,response_rate_pct,record_type,course_key,source_file,row_hash
2026,Spring,Heinz College,AEM,93721,A3,"IYER, Jenee",ARTS MANAGEMENT & IP,Graduate,13,7,53.8%,5.86,4.57,4.57,4.43,4.0,4.57,4.71,4.86,4.57,4.57,93-721,53.8,instructor,"2026__SPRING__AEM__93721__A3__IYER,_JENEE__ARTS_MANAGEMENT_&_IP",CMU_FCE_2025Fall-2026Sum_FULL.csv,2f8ebddc57ea2f567ef38d3804051aa6152e92fcf58a9add7b036e3598852e96
2026,Spring,Heinz College,AEM,93807,A3,"STEWART, GRACE",MUSEUM OPERATIONS,Graduate,18,10,55.6%,7.33,3.0,2.67,2.33,1.89,2.67,2.78,4.0,2.33,2.0,93-807,55.6,instructor,"2026__SPRING__AEM__93807__A3__STEWART,_GRACE__MUSEUM_OPERATIONS",CMU_FCE_2025Fall-2026Sum_FULL.csv,198172453948abc601a54585d69ec01dac4e872de77c614e3b4dda76907936a4
2026,Spring,Heinz College,AEM,93807,A3,,MUSEUM OPERATIONS,Graduate,18,10,55.6%,7.1,3.2,2.7,2.40,2.1,2.8,2.9,4.8,2.7,2.2,93-807,55.6,aggregate,2026__SPRING__AEM__93807__A3__AGGREGATE__MUSEUM_OPERATIONS,CMU_FCE_2025Fall-2026Sum_FULL.csv,d02ef24eb96eff81872f6753163b7aba8abdce55fcda98eb0047ddba8afdce3d
2026,Spring,Heinz College,AEM,93826,A3,"MCMAHON, JAMIE",FUNDR & INDIV GIVING,Graduate,26,14,53.8%,7.14,4.21,4.36,4.07,3.57,4.43,3.79,4.64,4.07,3.93,93-826,53.8,instructor,"2026__SPRING__AEM__93826__A3__MCMAHON,_JAMIE__FUNDR_&_INDIV_GIVING",CMU_FCE_2025Fall-2026Sum_FULL.csv,d6ef5d2e1ac71bf8ab4e1577cbaeaa8a92d8cac1a6522165b88a85a2e5c750c3
2026,Spring,Heinz College,AEM,93831,A3,"SOLOMON, MARCIE",LAW FUND ARTS MNGERS,Graduate,30,23,76.7%,7.52,4.09,4.09,4.17,3.61,4.22,3.96,4.74,3.91,3.91,93-831,76.7,instructor,"2026__SPRING__AEM__93831__A3__SOLOMON,_MARCIE__LAW_FUND_ARTS_MNGERS",CMU_FCE_2025Fall-2026Sum_FULL.csv,de5fc7cfc9680688e0657098d4218391e6a3503022b786f4c01b761c4117efb8
2026,Spring,Heinz College,AEM,93844,A3,"BERLIN, LIZ",LIVE MUS TOUR REV ST,Graduate,18,12,66.7%,6.5,4.17,4.08,4.17,4.0,4.42,3.92,4.75,4.0,3.83,93-844,66.7,instructor,"2026__SPRING__AEM__93844__A3__BERLIN,_LIZ__LIVE_MUS_TOUR_REV_ST",CMU_FCE_2025Fall-2026Sum_FULL.csv,fc74ab85162cb287bb8e65cfe6717b92432d02146e72e43fc3a83d2ebc970df6
2026,Spring,Heinz College,AEM,93846,A3,"POULIN, JEFF",CULTURAL PLCY ADVCY,Graduate,9,6,66.7%,8.0,4.83,4.5,4.83,4.33,5.0,4.83,5.0,4.83,4.83,93-846,66.7,instructor,"2026__SPRING__AEM__93846__A3__POULIN,_JEFF__CULTURAL_PLCY_ADVCY",CMU_FCE_2025Fall-2026Sum_FULL.csv,c7839d4d2331a3c5f1534e921d4cac0c247a6cb26babbee4f600ae23327cbd2d
2026,Spring,College of Fine Arts,ARC,48386,A3,"ABRAHAM, JARED",PORT RES PREP,Undergraduate,8,1,12.5%,2.0,5.0,5.0,5.00,5.0,5.0,5.0,5.0,5.0,5.0,48-386,12.5,instructor,"2026__SPRING__ARC__48386__A3__ABRAHAM,_JARED__PORT_RES_PREP",CMU_FCE_2025Fall-2026Sum_FULL.csv,2e766e181bd9bb012594e21fbe0f41afdf94a19dcbc847c0f0e2a69feb97ba68
2026,Spring,College of Fine Arts,ARC,48575,A3,"COCHRAN, ERICA",NOMAS COMP,Undergraduate,5,0,0.0%,,,,,,,,,,,48-575,0.0,instructor,"2026__SPRING__ARC__48575__A3__COCHRAN,_ERICA__NOMAS_COMP",CMU_FCE_2025Fall-2026Sum_FULL.csv,0ee204f292e22ef8be19f190b5a7f9c30f18e2e22022dcb5cb1b09bbf29cc0b3
2026,Spring,College of Fine Arts,ARC,48627,A3,"NEWMAN- PERRY, MORGAN",EXPL AFTR ARCH PRAC,Graduate,4,1,25.0%,5.0,5.0,4.0,5.00,3.0,5.0,5.0,5.0,5.0,5.0,48-627,25.0,instructor,"2026__SPRING__ARC__48627__A3__NEWMAN-_PERRY,_MORGAN__EXPL_AFTR_ARCH_PRAC",CMU_FCE_2025Fall-2026Sum_FULL.csv,395a7886e9fcce1b79f8eaee1ec01edd4be1a6bef5e1582b216138812772f505
