Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2025,Spring,Heinz College,AEM,93721,A4,"IYER, Jenee",IP FOR ARTS MANAGERS,Graduate,8,4,50.0%,6.50,4.75,5.00,5.00,4.50,5.00,4.75,5.00,5.00,5.00
2025,Spring,Heinz College,AEM,93804,A3,"POULIN, JEFF",ARTS IN EDUCATION,Graduate,9,5,55.6%,5.60,4.60,4.40,4.40,4.40,5.00,5.00,4.80,4.60,4.60
2025,Spring,Heinz College,AEM,93808,A3,"DROEGE, CASEY",EXHIBITIONS MGMNT,Graduate,18,14,77.8%,5.43,4.79,4.57,4.57,4.50,4.36,4.50,5.00,4.36,4.36
2025,Spring,Heinz College,AEM,93809,A4,"REARICK, RACHEL",PUBLIC ART,Graduate,19,15,78.9%,5.40,4.47,4.60,4.47,4.40,4.67,4.40,4.80,4.40,4.60
2025,Spring,Heinz College,AEM,93812,A4,"MILLER, RANDAL",PRES PERF ART & FEST,Graduate,12,6,50.0%,6.00,4.50,3.33,4.17,4.67,5.00,4.50,5.00,4.00,4.17
2025,Spring,Heinz College,AEM,93821,A3,"CRAWFORD, BRETT",EXT REL: ARTS MKT PR,Graduate,29,17,58.6%,8.56,4.50,3.47,4.24,3.88,4.41,4.29,4.41,4.06,3.88
2025,Spring,Heinz College,AEM,93826,A3,"MCMAHON, JAMIE",EXT REL: FUN IND GIV,Graduate,26,15,57.7%,6.80,4.27,3.80,4.40,3.60,4.27,4.40,4.00,4.13,4.13
2025,Spring,Heinz College,AEM,93827,A4,"BENVENUTI, SARAH",EXT REL:SPN INS GIV,Graduate,27,26,96.3%,5.92,4.46,4.31,4.46,4.54,4.58,4.42,4.62,4.27,4.31
2025,Spring,Heinz College,AEM,93834,A3,"HALDEMAN, HAYLEY",BUS LAW ART MGRS II,Graduate,22,20,90.9%,6.65,4.75,4.05,4.45,4.55,4.79,4.65,4.85,4.40,4.35
2025,Spring,Heinz College,AEM,93844,A3,"BERLIN, LIZ",LIVE MUS TOUR REV ST,Graduate,16,11,68.8%,9.55,4.55,3.55,3.45,3.55,4.00,3.55,5.00,3.36,3.27
2025,Spring,Heinz College,AEM,93854,L,"IYENGAR, LAKSHMI",FILM ACQUISTION,Graduate,18,3,16.7%,4.00,3.67,4.00,3.67,3.67,4.00,4.00,3.67,3.67,3.67
2025,Spring,Heinz College,AEM,93855,L,"HIME, ADAM",INTELLECTURAL PROPTY,Graduate,30,5,16.7%,6.20,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,Heinz College,AEM,93856,L,"SMITH, MICHELE",BUSINESS DEVELOPMENT,Graduate,30,4,13.3%,5.00,4.00,4.00,4.00,4.25,4.00,4.00,4.00,4.00,4.00
2025,Spring,Heinz College,AEM,93858,L,"YODER, KEVIN",MARKET RES ENTRN IND,Graduate,30,4,13.3%,5.75,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
